  No    Ref    V       B-V     U-B

 0001   158   7.580   0.460   0.020
 0002   158   8.720   0.290  -0.540
 0003   158   8.790   0.530   0.070
 0004   158  10.160   0.390  -0.110
 0005   158  10.200   0.210   0.170
 0006   158  10.290   0.430   0.050
 0007   158  10.700   0.540   0.080
 0008   158  10.620   0.260  -0.580
 0009   158  10.660   0.350  -0.500
 0010   158  11.440   0.560   0.460
 0011   158  11.730   0.350   0.270
 0012   158  12.150   0.370  -0.310
 0013   158  12.730   0.590   0.150
 0014   158  13.040   1.540   1.310
 0015   158  13.100   0.410  -0.290
 0016   158  13.140   0.660   0.070
 0017   158  13.120   1.620   1.750
 0018   158  13.410   0.470  -0.160
 0019   158  13.610   0.930   0.480
 0020   158  13.750   0.530   0.380
 0021   158  13.890   0.440  -0.140
 0022   158  14.100   0.550   0.220
 0023   158  14.320   0.540   0.350
 0024   158  14.640   0.660   0.290
 0025   158  14.660   0.570   0.340
 0026   158  14.710   0.650   0.070
 0028   158  15.210   0.530   0.380
 0029   158  15.610   0.720   0.270
 0030   158   9.520   1.680   1.920
 0031   158  10.590   0.410  -0.600
 0033   158  11.640   0.370  -0.010
 0034   158  11.810   0.370  -0.450
 0035   158  11.890   0.320  -0.470
 0036   158  11.850   0.360   0.120
 0037   158  11.980   0.320  -0.380
 0038   158  12.010   0.370  -0.410
 0039   158  11.970   0.420   0.240
 0040   158  12.150   0.370  -0.250
 0041   158  12.200   0.360  -0.440
 0042   158  12.280   0.600  -0.290
 0043   158  12.370   1.670   1.740
 0044   158  12.390   1.490   1.240
 0046   158  12.500   0.590   0.140
 0047   158  12.640   0.450   0.240
 0048   158  13.180   1.430   1.310
 0049   158  13.130   0.640  -0.140
 0050   158  13.330   0.440  -0.190
 0051   158  13.310   0.540  -0.120
 0052   158  13.450   1.330   1.070
 0053   158  13.570   0.730   0.380
 0054   158  13.550   0.450   0.030
 0055   158  13.550   0.600  -0.250
 0056   158  13.660   1.380   1.190
 0057   158  13.770   0.620  -0.040
 0058   158  14.020   0.650   0.210
 0059   158  13.890   0.460  -0.180
 0060   158  13.930   0.480  -0.050
 0061   158  13.940   0.850   0.280
 0062   158  15.050   0.680   0.210
 0063   158  13.960   0.500   0.120
 0064   158  13.980   0.550  -0.270
 0065   158  14.080   1.600   1.270
 0066   158  14.110   0.660   0.020
 0067   158  14.250   0.950   0.460
 0068   158  14.160   0.380  -0.060
 0069   158  14.270   1.000   0.360
 0070   158  14.480   0.930   0.670
 0071   158  14.410   0.610   0.450
 0072   158  14.410   0.640   0.440
 0073   158  14.420   0.500         
 0075   158  14.620   0.600   0.100
 0076   158  14.610   0.500  -0.130
 0078   158  14.690   0.450   0.080
 0079   158  14.790   0.630   0.350
 0080   158  14.770   0.530   0.220
 0081   158  14.890   1.000   0.680
 0082   158  14.930   0.830   0.380
 0083   158  14.820   0.490   0.190
 0084   158  14.880   0.640   0.020
 0085   158  14.880   0.770   0.240
 0087   158  14.960   0.720   0.530
 0088   158  15.030   1.350   0.690
 0090   158  14.990   0.570   0.200
 0091   158  15.060   0.960   0.350
 0092   158  15.030   0.840   0.220
 0093   158  15.080   1.090   0.430
 0094   158  15.080   0.550   0.220
 0095   158  15.120   0.700   0.450
 0096   158  15.200   0.610   0.580
 0099   158  15.310   0.850   0.100
 0100   158  15.120   0.600   0.370
 0101   158  15.290   0.980   0.250
 0102   158  15.200   0.640   0.160
 0103   158  15.290   1.040   0.490
 0104   158  15.290   0.630   0.330
 0105   158  15.230   0.560   0.110
 0106   158  15.310   0.560   0.470
 0107   158  15.220   0.800   0.480
 0108   158  15.400   0.850   0.290
 0109   158  15.480   1.000   0.330
 0110   158  15.450   0.630   0.340
 0111   158  15.560   0.750   0.170
 0112   158  15.450   0.820   0.190
 0114   158  15.510   0.650   0.530
 0115   158  15.600   0.670   0.580
 0116   158  15.730   1.010   0.680
 0117   158  15.760   1.040   0.230
 0118   158  15.530   1.120   0.030
 0119   158  15.720   0.630   0.260
 0121   158  15.720   0.510   0.570
 0122   158  15.610   0.800   0.290
 0123   158  15.660   0.750   0.150
 0126   158  15.710   0.800   0.650
 0128   158  15.790   0.870   0.520
 0130   158  15.860   1.050   0.190
 0133   158  15.640   0.940   0.430
